00A3: is_char_in_area_2d
00A4: is_char_in_area_3d
00B0: is_car_in_area_2d
00B1: is_car_in_area_3d
01A1: is_char_in_area_on_foot_2d
01A6: is_char_in_area_on_foot_3d
01A2: is_char_in_area_in_car_2d
01A7: is_char_in_area_in_car_3d
01A3: is_char_stopped_in_area_2d
01A8: is_char_stopped_in_area_3d
01A4: is_char_stopped_in_area_on_foot_2d
01A9: is_char_stopped_in_area_on_foot_3d
01A5: is_char_stopped_in_area_in_car_2d
01AA: is_char_stopped_in_area_in_car_3d
01AB: is_car_stopped_in_area_2d
01AC: is_car_stopped_in_area_3d
04E9: is_object_in_area_2d
04EA: is_object_in_area_3d
05F6: is_char_in_angled_area_2d
05FC: is_char_in_angled_area_3d
05F7: is_char_in_angled_area_on_foot_2d
05FD: is_char_in_angled_area_on_foot_3d
05F8: is_char_in_angled_area_in_car_2d
05FE: is_char_in_angled_area_in_car_3d
05F9: is_char_stopped_in_angled_area_2d
05FF: is_char_stopped_in_angled_area_3d
05FA: is_char_stopped_in_angled_area_on_foot_2d
0600: is_char_stopped_in_angled_area_on_foot_3d
05FB: is_char_stopped_in_angled_area_in_car_2d
0601: is_char_stopped_in_angled_area_in_car_3d
08E3: is_object_in_angled_area_2d
08E4: is_object_in_angled_area_3d

00EC: locate_char_any_means_2d
00FE: locate_char_any_means_3d
00ED: locate_char_on_foot_2d
00FF: locate_char_on_foot_3d
00EE: locate_char_in_car_2d
0100: locate_char_in_car_3d
00EF: locate_stopped_char_any_means_2d
0101: locate_stopped_char_any_means_3d
00F0: locate_stopped_char_on_foot_2d
0102: locate_stopped_char_on_foot_3d
00F1: locate_stopped_char_in_car_2d
0103: locate_stopped_char_in_car_3d
00F2: locate_char_any_means_char_2d
0104: locate_char_any_means_char_3d
00F3: locate_char_on_foot_char_2d
0105: locate_char_on_foot_char_3d
00F4: locate_char_in_car_char_2d
0106: locate_char_in_car_char_3d
01AD: locate_car_2d
01AF: locate_car_3d
01AE: locate_stopped_car_2d
01B0: locate_stopped_car_3d
0202: locate_char_any_means_car_2d
0205: locate_char_any_means_car_3d
0203: locate_char_on_foot_car_2d
0206: locate_char_on_foot_car_3d
0204: locate_char_in_car_car_2d
0207: locate_char_in_car_car_3d
0471: locate_char_any_means_object_2d
0474: locate_char_any_means_object_3d
0472: locate_char_on_foot_object_2d
0475: locate_char_on_foot_object_3d
0473: locate_char_in_car_object_2d
0476: locate_char_in_car_object_3d
04E5: locate_object_2d
04E6: locate_object_3d

0EE4: locate_char_distance_to_char
0EE5: locate_char_distance_to_car
0EE6: locate_char_distance_to_object
0EE7: locate_car_distance_to_object
0EE8: locate_car_distance_to_car
0EE9: locate_object_distance_to_object
0EEA: locate_char_distance_to_coordinates
0EEB: locate_car_distance_to_coordinates
0EEC: locate_object_distance_to_coordinates
0EED: locate_entity_distance_to_entity

01E7: switch_roads_on
01E8: switch_roads_off
022A: switch_ped_roads_on
022B: switch_ped_roads_off

0395: clear_area
03BA: clear_area_of_cars
042B: clear_area_of_chars

077E: get_area_visible
04BB: set_area_visible
0566: set_object_area_visible
0840: set_vehicle_area_visible
09E8: get_char_area_visible
0860: set_char_area_visible

04E4: request_collision
